date,phase,status,reason,utc,local_solar_hour,month,tiles,usable_frac,valid_px,water_px,urban_mean,urban_px,rural_strict,suhii_strict,rural_+rural,suhii_+rural,rural_wide,suhii_wide,suhii,suhii_spread,view_urban,view_rural,view_delta
2025-12-14,night,ok,,2025-12-14T22:22:11,4.26,12,45QWE+45QXE+45QXF,0.4231,681354,95317,16.037,213517,16.224,-0.187,16.224,-0.187,15.892,0.145,-0.076,0.332,27.19,26.1,1.09
2025-12-21,night,ok,,2025-12-21T19:59:30,1.88,12,45QWF+45QXE+45QXF,0.3438,594855,36471,14.959,194529,14.615,0.344,14.617,0.341,14.661,0.297,0.328,0.047,24.21,23.83,0.38
2025-12-25,night,skipped,usable 13% < 30%,2025-12-25T18:23:09,0.28,12,45QWE+45QWF+45QXE+45QXF,0.1272,127256,126206,15.983,60081,16.632,-0.649,16.632,-0.649,16.609,-0.626,-0.642,0.023,,,
2026-01-02,night,ok,,2026-01-02T15:14:34,21.13,1,45QWE+45QWF+45QXE+45QXF,0.3096,445366,126066,16.52,252852,16.929,-0.409,16.934,-0.414,16.685,-0.165,-0.329,0.249,13.48,16.37,2.89
2026-01-04,night,skipped,usable 25% < 30%,2026-01-04T23:29:22,5.38,1,45QWF+45QXE+45QXF,0.2524,405915,53794,12.348,100746,12.008,0.34,12.007,0.341,11.987,0.361,0.347,0.02,,,
2026-01-10,night,skipped,usable 18% < 30%,2026-01-10T12:07:12,18.01,1,45QWE+45QWF+45QXE+45QXF,0.1793,238138,126186,17.777,131242,17.932,-0.155,17.937,-0.16,17.842,-0.065,-0.127,0.095,,,
2026-01-12,night,skipped,no usable LST pixels,2026-01-12T20:22:10,2.26,1,,,,,,,,,,,,,,,,,
2026-01-19,night,skipped,usable 24% < 30%,2026-01-19T18:00:33,23.89,1,45QWE+45QWF+45QXE+45QXF,0.2426,395746,47497,15.92,249084,15.516,0.404,15.516,0.404,15.24,0.679,0.496,0.276,,,
2026-01-20,night,skipped,no usable LST pixels,2026-01-20T17:12:42,23.09,1,,,,,,,,,,,,,,,,,
2026-01-22,day,ok,,2026-01-22T07:24:07,13.29,1,45QWE+45QWF+45QXE+45QXF,0.9554,1610061,126139,28.312,612018,27.916,0.396,27.916,0.396,27.857,0.455,0.416,0.059,6.74,7.44,0.7
2026-01-23,night,ok,,2026-01-23T16:25:49,22.31,1,45QWE+45QWF+45QXE+45QXF,0.4583,720650,118754,16.388,355134,16.718,-0.33,16.724,-0.336,16.426,-0.038,-0.235,0.297,23.19,23.62,0.43
2026-01-24,night,skipped,no usable LST pixels,2026-01-24T15:39:03,21.55,1,,,,,,,,,,,,,,,,,
2026-01-26,day,ok,,2026-01-26T05:52:35,11.76,1,45QWE+45QWF+45QXE+45QXF,0.9264,1566548,114788,27.516,605532,26.965,0.55,26.967,0.548,27.012,0.504,0.534,0.047,10.05,10.72,0.68
2026-01-31,night,skipped,no usable LST pixels,2026-01-31T13:25:30,19.31,1,,,,,,,,,,,,,,,,,
2026-02-03,day,skipped,usable 2% < 30%,2026-02-03T02:51:18,8.74,2,45QWE+45QWF+45QXE,0.0214,23277,22053,19.872,6956,19.144,0.727,19.144,0.727,19.099,0.773,0.742,0.045,,,
